FunctionalAssessment,ADL,MMSE,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
5.0445,0.0,0.0,1043.57,1.0,1.0,1.0,0.0,0.1608
,,,,,,,,
5.0675,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0359,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1605
,,,,,,,,
5.0276,0.0,0.0,1043.59,1.0,1.0,1.0,0.0,0.1603
,,,,,,,,
5.0607,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1612
,,,,,,,,
5.0327,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1605
,,,,,,,,
5.038,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1606
,,,,,,,,
5.0337,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1605
,,,,,,,,
5.0486,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1609
,,,,,,,,
5.0348,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1605
,,,,,,,,
5.0034,0.0,0.0,1043.62,1.0,1.0,1.0,0.0,0.1596
,,,,,,,,
5.2397,0.0,0.0,1043.35,1.0,1.0,1.0,0.0,0.1662
,,,,,,,,
5.0189,0.0,0.0,1043.6,1.0,1.0,1.0,0.0,0.16
,,,,,,,,
5.0251,0.0,0.0,1043.59,1.0,1.0,1.0,0.0,0.1602
,,,,,,,,
5.0474,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1609
,,,,,,,,
5.031,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1604
,,,,,,,,
4.9844,0.0,0.0,1043.64,1.0,1.0,1.0,0.0,0.159
,,,,,,,,
5.0109,0.0,0.0,1043.61,1.0,1.0,1.0,0.0,0.1598
,,,,,,,,
4.9929,0.0,0.0,1043.63,1.0,1.0,1.0,0.0,0.1593
,,,,,,,,
